product_id,product_name,price,cogs,category,brand
1,Amazon Echo Studio,20000,14000,Accessories,Amazon
2,Anker Power Bank 20000mAh,3000,2000,Accessories,Anker
3,Apple Watch SE,25000,15000,Accessories,Apple
4,Apple Watch Series 6,40000,25000,Accessories,Apple
5,Apple HomePod Mini,10000,7000,Accessories,Apple
6,Reusable Water Bottle,500,300,Accessories,AquaPlus
7,ASUS TUF Gaming Mouse,5000,3000,Accessories,ASUS
8,Asus ROG Strix Gaming Headset,12000,8000,Accessories,Asus
9,Bose QuietComfort Headset,18000,12000,Accessories,Bose
10,Bose SoundLink Speaker,15000,10000,Accessories,Bose
11,Bose Noise Cancelling 700,25000,18000,Accessories,Bose
12,Bose SoundLink Revolve,15000,10000,Accessories,Bose
13,Bose QuietComfort 35 II,30000,20000,Accessories,Bose
14,Bose SoundLink Micro,10000,7000,Accessories,Bose
15,Rechargeable Flashlight,600,400,Accessories,BrightFlash
16,LED Flashlight,400,250,Accessories,BrightLite
17,Bluetooth Car Kit,800,500,Accessories,CarConnect
18,Car Phone Mount,600,350,Accessories,CarTech
19,USB Rechargeable Battery,1000,600,Accessories,ChargeMax
20,Keyboard,2500,1500,Accessories,Corsair
21,Corsair K95 RGB Keyboard,12000,8000,Accessories,Corsair
22,Corsair K70 RGB Keyboard,15000,10000,Accessories,Corsair
23,Corsair Vengeance RAM,8000,4000,Accessories,Corsair
24,Desktop Organizer,800,500,Accessories,DeskPro
25,Bluetooth Earbuds,1500,900,Accessories,EchoSound
26,Smartwatch,7000,5000,Accessories,Fitbit
27,Fitbit Charge 4,8000,5000,Accessories,Fitbit
28,Fitbit Sense,25000,16000,Accessories,Fitbit
29,Fitbit Versa 3,18000,12000,Accessories,Fitbit
30,Fitbit Inspire 2,12000,8000,Accessories,Fitbit
31,Fitbit Charge 4,20000,13000,Accessories,Fitbit
32,Foldable Laptop Stand,700,450,Accessories,FlexStand
33,Fossil Hybrid HR Watch,10000,7000,Accessories,Fossil
34,Garmin Fenix 6,40000,25000,Accessories,Garmin
35,Garmin Forerunner 945,40000,27000,Accessories,Garmin
36,Garmin Fenix 5,35000,23000,Accessories,Garmin
37,Garmin Instinct Solar,25000,17000,Accessories,Garmin
38,Generic Bluetooth Headphones,1500,1000,Accessories,Generic
39,Smartphone Stand,500,300,Accessories,Generic
40,2-in-1 USB Charging Cable,400,200,Accessories,Generic
41,Over-Ear Headphones,2500,1700,Accessories,Generic
42,Phone Case,400,250,Accessories,Generic
43,Google Nest Hub Max,20000,13000,Accessories,Google
44,Huawei Watch GT2,15000,9000,Accessories,Huawei
45,Huawei FreeBuds 4,10000,6500,Accessories,Huawei
46,JBL Flip 5 Bluetooth Speaker,8000,5000,Accessories,JBL
47,JBL Quantum 400 Gaming Headset,8000,5000,Accessories,JBL
48,JBL PartyBox 1000,30000,20000,Accessories,JBL
49,JBL Charge 4 Speaker,12000,8000,Accessories,JBL
50,JBL Pulse 4 Speaker,20000,12000,Accessories,JBL
51,JBL PartyBox 300 Speaker,35000,25000,Accessories,JBL
52,JBL Tune 500BT Headphones,6000,4000,Accessories,JBL
53,LED Desk Organizer,1000,600,Accessories,LightDesk
54,USB-C Hub,1200,800,Accessories,LinkHub
55,Gaming Mouse,1500,800,Accessories,Logitech
56,Logitech G Pro Mouse,3000,2000,Accessories,Logitech
57,Logitech MX Master 3 Mouse,7000,4000,Accessories,Logitech
58,Logitech G Pro X Headset,12000,8000,Accessories,Logitech
59,Logitech MX Master 3 Mouse,8000,5000,Accessories,Logitech
60,Logitech C920 Webcam,8000,5000,Accessories,Logitech
61,Portable Power Bank 5000mAh,1000,600,Accessories,PowerCore
62,Cordless Electric Screwdriver,2500,1500,Accessories,PowerGrip
63,Power Strip with USB Ports,1200,800,Accessories,PowerMax
64,Gaming Headset,4000,2500,Accessories,Razer
65,Razer Kraken Gaming Headset,8000,5000,Accessories,Razer
66,Laptop Bag,2500,1500,Accessories,Samsonite
67,Samsung Galaxy Watch 4,20000,13000,Accessories,Samsung
68,Samsung Galaxy Buds Pro,12000,8000,Accessories,Samsung
69,Samsung 1TB SSD,10000,6000,Accessories,Samsung
70,Samsung Galaxy Watch 3,25000,16000,Accessories,Samsung
71,Samsung Galaxy Buds Live,10000,6000,Accessories,Samsung
